PS I:\freelance\SCA Smartcard ML Pipeline-3des> python main.py --mode train --scan_type all --processed_dir "I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Processed" --model_dir "I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\models" --opt_dir "I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Optimization" --input_dir "I:\freelance\SCA-Smartcard-Pipeline-3\Input1"           
Running: 'C:\Program Files\Python312\python.exe' 'I:\freelance\SCA Smartcard ML Pipeline-3des\pipeline-code\main.py' --mode train --scan_type all --processed_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Processed' --model_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\models' --opt_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Optimization' --input_dir 'I:\freelance\SCA-Smartcard-Pipeline-3\Input1' --output_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Output\run_manual' --model_root 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\models\run_manual' --card_type universal --file_pattern 'traces_data_*.npz' --enable_external_labels --label_map_xlsx 'I:\freelance\SCA Smartcard ML 2026-03-15 16:04:47,968 - ingest - INFO - Total traces found: 6001
2026-03-15 16:20:27,285 - train_ensemble - INFO - S-Box 4 Model 0 Finished. Best Acc: 51.17%
2026-03-15 16:20:27,499 - train_ensemble - INFO - Training 3DES KENC Stage 1 S-Box 5 (1 models) using 15000 traces...
2026-03-15 16:20:55,056 - train_ensemble - INFO - S-Box 5 Model 0 | Early stopping at epoch 9 (no improvement for 8 epochs).
2026-03-15 16:20:55,056 - train_ensemble - INFO - S-Box 5 Model 0 Finished. Best Acc: 17.27%
2026-03-15 16:20:55,248 - train_ensemble - INFO - Training 3DES KENC Stage 1 S-Box 6 (1 models) using 15000 traces...
2026-03-15 16:21:27,274 - train_ensemble - INFO - S-Box 6 Model 0 | Epoch 10 | Val Acc: 60.20%
2026-03-15 16:21:45,355 - train_ensemble - INFO - S-Box 6 Model 0 | Early stopping at epoch 16 (no improvement for 8 epochs).
2026-03-15 16:21:45,355 - train_ensemble - INFO - S-Box 6 Model 0 Finished. Best Acc: 60.27%
2026-03-15 16:21:45,525 - train_ensemble - INFO - Training 3DES KENC Stage 1 S-Box 7 (1 models) using 15000 traces...
2026-03-15 16:22:17,221 - train_ensemble - INFO - S-Box 7 Model 0 | Early stopping at epoch 10 (no improvement for 8 epochs).
2026-03-15 16:22:17,221 - train_ensemble - INFO - S-Box 7 Model 0 Finished. Best Acc: 30.43%
2026-03-15 16:22:17,401 - train_ensemble - INFO - Training 3DES KENC Stage 1 S-Box 8 (1 models) using 15000 traces...
2026-03-15 16:22:49,545 - train_ensemble - INFO - S-Box 8 Model 0 | Epoch 10 | Val Acc: 50.33%
2026-03-15 16:22:55,564 - train_ensemble - INFO - S-Box 8 Model 0 | Early stopping at epoch 12 (no improvement for 8 epochs).
2026-03-15 16:22:55,564 - train_ensemble - INFO - S-Box 8 Model 0 Finished. Best Acc: 50.33%
2026-03-15 16:22:55,742 - train_ensemble - INFO - Training 3DES KENC Stage 2 S-Box 1 (1 models) using 15000 traces...
2026-03-15 16:23:27,821 - train_ensemble - INFO - S-Box 1 Model 0 | Epoch 10 | Val Acc: 49.43%
2026-03-15 16:23:55,662 - train_ensemble - INFO - S-Box 1 Model 0 | Early stopping at epoch 19 (no improvement for 8 epochs).
2026-03-15 16:23:55,662 - train_ensemble - INFO - S-Box 1 Model 0 Finished. Best Acc: 50.90%
2026-03-15 16:23:55,753 - train_ensemble - INFO - Training 3DES KENC Stage 2 S-Box 2 (1 models) using 15000 traces...
2026-03-15 16:24:27,360 - train_ensemble - INFO - S-Box 2 Model 0 | Epoch 10 | Val Acc: 50.03%
2026-03-15 16:24:39,401 - train_ensemble - INFO - S-Box 2 Model 0 | Early stopping at epoch 14 (no improvement for 8 epochs).
2026-03-15 16:24:39,401 - train_ensemble - INFO - S-Box 2 Model 0 Finished. Best Acc: 50.63%
